,_version,_index,_latitude,_longitude,_created_duration,_updated_duration,_edited_duration,entering_the_store,number_of_customers_in_store,number_of_suppliers_in_store,number_of_cases_boxes_delivered,leaving_the_store
0,1,0,19.0596667,-98.2338643,61,3,64,23:50,1,1,15,12:12
1,1,0,19.0530488,-98.2294218,80,80,80,10:35,0,2,35,11:00
2,1,0,19.0517402,-98.232677,25,61,86,10:35,0,1,12,10:50
3,1,0,19.0529905,-98.2339909,41,7,48,10:22,0,1,3,10:43
4,1,0,19.0553894,-98.2301302,76,76,76,10:13,0,1,1,10:33
5,1,0,19.0531043,-98.2271606,53,53,53,09:48,7,1,3,10:06
6,1,0,19.04590291,-98.20348741,0,8,8,12:29,1,1,3,12:33
7,1,0,19.02348801,-98.20328097,0,4,4,12:56,2,1,3,13:01
8,1,0,19.04645891,-98.19369793,0,116,116,16:28,2,1,2,16:28
9,1,0,19.0658682,-98.3105623,624,624,624,16:02,3,2,11,16:19
10,1,0,19.0645079,-98.3113028,167,167,167,15:40,2,2,12,15:55
11,1,0,19.04738531,-98.20425514,0,130,130,11:21,9,1,5,11:30
12,1,0,19.04881857,-98.20005009,0,11,11,10:15,0,1,24,10:32
13,1,0,18.99942929,-98.27405971,0,78,78,11:35,1,3,8,11:55
14,1,0,18.99942571,-98.2740789,0,46,46,11:35,2,1,2,11:40
15,1,0,19.00608812,-98.26567357,0,50,50,11:31,2,5,10,11:38
16,1,0,19.00613704,-98.26568174,0,56,56,11:30,0,2,6,11:38
17,1,0,19.006115,-98.26567025,0,41,41,11:21,0,1,2,11:30
18,1,0,19.00410075,-98.26650186,0,41,41,11:11,3,1,4,11:14
19,1,0,19.00411011,-98.2664908,0,81,81,10:43,2,1,2,11:56
20,1,0,19.00450287,-98.26618775,0,76,76,11:08,4,3,6,11:25
21,1,0,19.00448073,-98.26620399,0,40,40,11:00,4,2,5,11:20
22,1,0,18.9995983,-98.27483802,0,68,68,10:47,0,1,2,11:02
23,1,0,19.00184227,-98.27189572,0,60,60,10:50,0,2,5,11:10
24,1,0,19.00173048,-98.27208718,0,43,43,10:35,2,1,2,11:00
25,1,0,19.00512008,-98.26648594,0,94,94,10:32,1,2,3,10:46
26,1,0,19.00565243,-98.26759627,0,57,57,09:32,0,2,4,10:11
27,1,0,19.00569198,-98.26761701,0,97,97,10:14,0,1,4,10:30
28,1,0,19.00407882,-98.26677136,0,2,2,09:40,1,0,2,09:57
29,1,0,19.02668826,-98.24933495,0,309,309,16:02,0,1,2,16:08
30,1,0,19.02517613,-98.2490309,0,382,382,16:15,3,1,4,16:21
31,1,0,19.03083854,-98.24979091,0,1,1,14:52,1,2,5,14:58
32,1,0,19.03074282,-98.2499071,0,336,336,14:52,1,2,1,14:56
33,1,0,19.02515603,-98.24905477,0,168,168,14:30,4,1,2,14:32
34,1,0,25.60954603,-100.2741623,0,62,62,11:47,0,1,1,11:50
